444		16		1287		38		41
2590		45		14380		328		304
2656		89		33738		2659		811
2009		142		57416		9419		1665
648		97		51606		22888		2442
573		35		35329		41625		2870
44		27		20533		57065		3079
20		10		10734		66911		3199
46		6		5549		72244		3261
45		5		2691		75448		3300
30		3		1376		76964		3329
99		0		1138		77575		3339
16		0		1041		77062		4632
